ID_GRU;NOME_GRU;ID_SUB_GRU;NOME_SUB_GRU;ID_CLA;NOME_CLA;ID_SEC;NOME_SEC;UNI_MED;ID_PRO;DESCRICAO_PRO;SALDO_ANTERIOR;SALDO_ANT_CUSTO;ENTRADA_QTD;ENTRADA_VL_UNIT;SAIDA_QTD;SAIDA_CM;SALDO_QTD;SALDO_CM
1;PMATERIAL DE EXPEDIENTE;6;PAPÉIS E ENVELOPES;22;PAPEL OFÍCIO;1;ADMINISTRAÇAO E FINANCAS;rs;17;PAPEL A4;0;0;20;378;20;378;0;0
7;MATERIAL DE COPA E COZINHA;24;COPOS;101;COPO DESCARTÁVEL;1;ADMINISTRAÇAO E FINANCAS;pct;21;COPO DESCARTÁVEL 200 ML;0;0;0;0;0;0;0;0
2;MATERIAL DE PROCESSAMENTO DE DADOS;15;ACESSÓRIOS E PERIFÉRICOS;103;MOUSE PAD;1;ADMINISTRAÇAO E FINANCAS;un;31;MOUSE PAD;0;0;0;0;0;0;0;0
1;PMATERIAL DE EXPEDIENTE;2;GRAMPOS, PERCEVEJOS, COLCHETES E CLIPS;3;GRAMPOS E CLIPS;1;ADMINISTRAÇAO E FINANCAS;cx;47;GRAMPO 26/6;0;0;0;0;0;0;0;0
3;MATERIAL DE LIMPEZA E HIGIENIZAÇÃO;19;CERAS E DESINFETANTES;93;ÁGUA SANITÁRIA;1;ADMINISTRAÇAO E FINANCAS;l;67;ÁGUA SANITÁRIA;0;0;0;0;0;0;0;0
3;MATERIAL DE LIMPEZA E HIGIENIZAÇÃO;19;CERAS E DESINFETANTES;93;ÁGUA SANITÁRIA;1;ADMINISTRAÇAO E FINANCAS;l;68;DESINFETANTE 2 L;0;0;0;0;0;0;0;0
3;MATERIAL DE LIMPEZA E HIGIENIZAÇÃO;18;SABÃO E SABONETE;109;DETERGENTE;1;ADMINISTRAÇAO E FINANCAS;un;70;DETERGENTE 500 ML;0;0;0;0;0;0;0;0
3;MATERIAL DE LIMPEZA E HIGIENIZAÇÃO;19;CERAS E DESINFETANTES;95;DESODOR DE VASO SANITÁRIO;1;ADMINISTRAÇAO E FINANCAS;un;82;DESODOR SANITÁRIO;0;0;0;0;0;0;0;0
3;MATERIAL DE LIMPEZA E HIGIENIZAÇÃO;20;BALDE E RECIPIENTES PARA LIXO;83;CESTO PARA LIXO;1;ADMINISTRAÇAO E FINANCAS;un;86;LIXEIRA TELADA;0;0;0;0;0;0;0;0
3;MATERIAL DE LIMPEZA E HIGIENIZAÇÃO;22;PAPEL E SACOS PLÁTICOS;98;SACO PARA LIXO;1;ADMINISTRAÇAO E FINANCAS;pct;95;SACO P/ LIXO 50 L C/100;0;0;0;0;0;0;0;0
3;MATERIAL DE LIMPEZA E HIGIENIZAÇÃO;22;PAPEL E SACOS PLÁTICOS;98;SACO PARA LIXO;1;ADMINISTRAÇAO E FINANCAS;pct;178;SACO P/ LIXO 15 L C/100;0;0;0;0;0;0;0;0
7;MATERIAL DE COPA E COZINHA;24;COPOS;101;COPO DESCARTÁVEL;1;ADMINISTRAÇAO E FINANCAS;pct;204;COPO DESCARTÁVEL 150 ML;0;0;0;0;0;0;0;0
3;MATERIAL DE LIMPEZA E HIGIENIZAÇÃO;22;PAPEL E SACOS PLÁTICOS;98;SACO PARA LIXO;1;ADMINISTRAÇAO E FINANCAS;pct;399;SACO P/ LIXO 50 L C/10;0;0;0;0;0;0;0;0
12;GÊNEROS DE ALIMENTAÇÃO;61;ALMOÇO E JANTAR;169;REFEIÇÕES EM GERAL;1;ADMINISTRAÇAO E FINANCAS;un;429;QUENTINHA;0;0;0;0;0;0;0;0
1;PMATERIAL DE EXPEDIENTE;3;CARIMBOS E ACESSÓRIOS;8;CARIMBO AUTOMÁTICO;1;ADMINISTRAÇAO E FINANCAS;un;609;CARIMBO AUTOMÁTICO 4911;0;0;0;0;0;0;0;0
5;MATERIAL PARA MANUTENÇÃO DE BENS IMÓVEIS;38;MATERIAL DE CONSTRUÇÃO;125;TINTAS;1;ADMINISTRAÇAO E FINANCAS;la;645;TINTA LATEX 18L;0;0;0;0;0;0;0;0
12;GÊNEROS DE ALIMENTAÇÃO;26;AÇUCARES;191;AÇÚCAR EM GERAL;1;ADMINISTRAÇAO E FINANCAS;kg;653;AÇÚCAR CRISTAL 1 KG;0;0;0;0;0;0;0;0
3;MATERIAL DE LIMPEZA E HIGIENIZAÇÃO;69;HIGIENIZAÇÃO PESSOAL;195;TOALHAS;1;ADMINISTRAÇAO E FINANCAS;un;755;TOALHA DE ROSTO;0;0;0;0;0;0;0;0
7;MATERIAL DE COPA E COZINHA;73;MATERIAL DE COPA;227;ACESSÓRIOS DE COPA EM GERAL;1;ADMINISTRAÇAO E FINANCAS;un;1268;COADOR DE CAFÉ;0;0;0;0;0;0;0;0
12;GÊNEROS DE ALIMENTAÇÃO;80;PRODUTOS ALIMENTÍCIOS;236;PRODUTOS ALIMETÍCIOS EM GERAL;1;ADMINISTRAÇAO E FINANCAS;pct;1397;BISCOITO CRACKER 400 G;0;0;0;0;0;0;0;0
12;GÊNEROS DE ALIMENTAÇÃO;47;FRIOS E CARNES;143;CARNES EM GERAL;1;ADMINISTRAÇAO E FINANCAS;kg;1400;MANTEIGA 500 G;0;0;0;0;0;0;0;0
12;GÊNEROS DE ALIMENTAÇÃO;80;PRODUTOS ALIMENTÍCIOS;236;PRODUTOS ALIMETÍCIOS EM GERAL;1;ADMINISTRAÇAO E FINANCAS;pct;1402;LEITE EM PÓ  INSTANTÂNEO 200 G;0;0;0;0;0;0;0;0
10;MATERIAL PARA MANUTENÇÃO DE VEÍCULOS;57;PEÇAS DE REPOSIÇÃO;187;MÁQUINAS, MOTORES E TRATORES EM GERAL;1;ADMINISTRAÇAO E FINANCAS;un;1447;COPO;0;0;0;0;0;0;0;0
3;MATERIAL DE LIMPEZA E HIGIENIZAÇÃO;19;CERAS E DESINFETANTES;93;ÁGUA SANITÁRIA;1;ADMINISTRAÇAO E FINANCAS;l;1520;DESINFETANTE 1000 ML;0;0;0;0;0;0;0;0
5;MATERIAL PARA MANUTENÇÃO DE BENS IMÓVEIS;38;MATERIAL DE CONSTRUÇÃO;190;ROLOS PARA PINTURA;1;ADMINISTRAÇAO E FINANCAS;un;1584;ROLO DE LÃ;0;0;0;0;0;0;0;0
8;GÁS ENGARRAFADO;82;GÁSES DE USO INDUSTRIAL;245;GASES DE USO INDUSTRIAL;1;ADMINISTRAÇAO E FINANCAS;un;1734;GAS DE COZINHA GLP 13 KG;0;0;3;180;3;180;0;0
1;PMATERIAL DE EXPEDIENTE;6;PAPÉIS E ENVELOPES;22;PAPEL OFÍCIO;1;ADMINISTRAÇAO E FINANCAS;cx;1780;PAPEL OFICIO 2;0;0;0;0;0;0;0;0
19;MATERIAL PARA FESTIVIDADES E HOMENAGENS;68;ACESSÓRIOS PARA FESTIVIDADES;194;ACESSÓRIOS EM GERAL PARA FESTIVIDADES;1;ADMINISTRAÇAO E FINANCAS;cx;1845;COPO DESC 100 ML;0;0;0;0;0;0;0;0
7;MATERIAL DE COPA E COZINHA;30;FÓSFORO DE SEGURANÇA;112;FÓSFORO;1;ADMINISTRAÇAO E FINANCAS;fd;1864;PAPEL HIGIENICO FD;0;0;0;0;0;0;0;0
7;MATERIAL DE COPA E COZINHA;30;FÓSFORO DE SEGURANÇA;112;FÓSFORO;1;ADMINISTRAÇAO E FINANCAS;bt;1866;FOSFORO;0;0;0;0;0;0;0;0
3;MATERIAL DE LIMPEZA E HIGIENIZAÇÃO;18;SABÃO E SABONETE;78;SABÃO EM PÓ;1;ADMINISTRAÇAO E FINANCAS;pct;1895;SABÃO BARRA PCT;0;0;0;0;0;0;0;0
3;MATERIAL DE LIMPEZA E HIGIENIZAÇÃO;18;SABÃO E SABONETE;80;SABONETE EM BARRA;1;ADMINISTRAÇAO E FINANCAS;un;1907;SACO LIXO 30L;0;0;0;0;0;0;0;0
7;MATERIAL DE COPA E COZINHA;24;COPOS;101;COPO DESCARTÁVEL;1;ADMINISTRAÇAO E FINANCAS;pct;1914;DETERGENTE 500 ML CX;0;0;0;0;0;0;0;0
12;GÊNEROS DE ALIMENTAÇÃO;66;PRODUTOS BENEFICIADOS OU CONSERVADOS;181;PRODUTOS BENEFICIADOS;1;ADMINISTRAÇAO E FINANCAS;cx;1917;COPO DESC 50 ML;0;0;0;0;0;0;0;0
5;MATERIAL PARA MANUTENÇÃO DE BENS IMÓVEIS;38;MATERIAL DE CONSTRUÇÃO;125;TINTAS;1;ADMINISTRAÇAO E FINANCAS;la;1928;MASSA HIFRACOR 3,6 PVA;0;0;0;0;0;0;0;0
2;MATERIAL DE PROCESSAMENTO DE DADOS;15;ACESSÓRIOS E PERIFÉRICOS;64;TECLADO;1;ADMINISTRAÇAO E FINANCAS;un;1988;TECLADO MULTIMIDIA;0;0;0;0;0;0;0;0
1;PMATERIAL DE EXPEDIENTE;1;LIVROS DE CONTROLE E REGISTRO;2;AGENDAS E LIVRO DE PROTOCOLO;1;ADMINISTRAÇAO E FINANCAS;un;1999;PASTA GRAMPO TRILHO;0;0;0;0;0;0;0;0
12;GÊNEROS DE ALIMENTAÇÃO;66;PRODUTOS BENEFICIADOS OU CONSERVADOS;181;PRODUTOS BENEFICIADOS;1;ADMINISTRAÇAO E FINANCAS;un;2056;BISC. CREAN CRACKER 400GR;0;0;0;0;0;0;0;0
17;COMBUSTÍVEIS E LUBRIFICANTES AUTOMOTIVOS;91;COMBUSTIVEL;256;COMBUSTIVEL PARA VEICULO;1;ADMINISTRAÇAO E FINANCAS;l;2229;COMBUSTIVEIS;0;-480;1;7651,43;1;7651,43;0;-480
27;MATERIAL DE CONSUMO;87;MATERIAL DE CONSUMO IMEDIATO;253;CONSUMO;1;ADMINISTRAÇAO E FINANCAS;cx;2325;BISCOITO CREAM CRACKER;0;0;0;0;0;0;0;0
31;MATERIAL DE LIMPEZA;93;MATERIAL DE LIMPEZA;261;MATERIAL DE LIMPEZA;1;ADMINISTRAÇAO E FINANCAS;un;2341;DESINFETANTE 500 ML;0;0;0;0;0;0;0;0
