NUM_ITEM;ID_PRO;ID_REQ;ID_SEC;QTD_PRO;PRE_UNIT;TOTAL_ITEM;TOTAL_REAL
1;17;2199;1;40;14,9;596;596
1;17;2882;1;20;18,9;378;378
1;68;2548;3;40;2,96;118,4;118,4
1;86;1177;1;7;4,5;31,5;31,5
1;100;2534;6;60;7,5;450;450
1;203;2597;4;12;25;300;300
1;211;2825;3;1300;1;1300;1300
1;213;2716;3;50;2,49;124,5;124,5
1;213;2798;3;30;5,99;179,7;179,7
1;213;2841;3;50;5,99;299,5;299,5
1;217;2751;3;10;2,48;24,8;24,8
1;217;2752;3;10;2,48;24,8;24,8
1;217;2753;3;10;2,48;24,8;24,8
1;217;2808;3;10;2,48;24,8;24,8
1;217;2833;3;10;2,48;24,8;24,8
1;230;2195;3;4;75;300;300
1;233;2779;3;3;7;21;21
1;298;2222;3;1;3300;3300;3300
1;330;2772;6;1;2,35;2,35;2,35
1;331;2467;6;1;198;198;198
1;339;2192;3;2;295;590;590
1;351;2358;6;1;22;22;22
1;359;2691;3;2;40;80;80
1;367;2778;3;1;550;550;550
1;388;2661;3;1;1,7;1,7;1,7
1;393;2736;3;1;3;3;3
1;394;2317;3;1;198;198;198
1;429;2314;1;179;10;1790;1790
1;429;2445;1;90;12;1080;1080
1;429;2475;1;85;12;1020;1020
1;429;2497;1;107;12;1284;1284
1;432;2627;6;1;1500;1500;1500
1;432;2855;3;1;3500;3500;3500
1;570;2294;3;4;0,7;2,8;2,8
1;609;2585;1;1;25;25;25
1;613;2758;6;4;131,25;525;525
1;616;2525;3;1;90;90;90
1;629;2793;4;2;250;500;500
1;645;2218;1;5;95;475;475
1;653;1905;1;30;2,29;68,7;68,7
1;653;2113;3;90;1,65;148,5;148,5
1;659;2820;3;1;126;126;126
1;681;2356;3;1;1400;1400;1400
1;681;2562;3;1;150;150;150
1;792;2555;3;200;3,15;630;630
1;886;2078;6;2,5;90;225;225
1;886;2090;6;2,5;90;225;225
1;925;2735;4;2;44;88;88
1;1017;2201;6;1;149,9;149,9;149,9
1;1026;2728;6;1;47;47;47
1;1041;2775;6;6;110;660;660
1;1242;2466;6;1;35;35;35
1;1295;2553;3;240;2,7;648;648
1;1295;2805;3;90;2,94;264,6;264,6
1;1299;2814;3;240;3,49;837,6;837,6
1;1397;2740;1;3;3,19;9,57;9,57
1;1397;2789;1;14;3,08;43,12;43,12
1;1635;2405;3;1;60;60;60
1;1639;2630;4;2;45;90;90
1;1642;2447;6;1;290;290;290
1;1651;2379;6;2;110;220;220
1;1719;2387;3;200;1,8;360;360
1;1720;2832;3;10;13,96;139,6;139,6
1;1734;1478;4;1;40;40;40
1;1734;1479;4;3;40;120;120
1;1734;1480;4;2;40;80;80
1;1734;1481;4;1;40;40;40
1;1734;1482;4;4;40;160;160
1;1734;1484;1;3;40;120;120
1;1734;1485;1;2;40;80;80
1;1734;1503;6;2;40;80;80
1;1734;1504;6;1;40;40;40
1;1734;1982;1;2;45;90;90
1;1734;2149;6;2;47;94;94
1;1734;2157;3;1;47;47;47
1;1734;2160;4;2;47;94;94
1;1734;2240;4;1;47;47;47
1;1734;2295;3;25;47;1175;1175
1;1734;2322;3;25;47;1175;1175
1;1734;2480;3;2;52;104;104
1;1734;2481;3;25;52;1300;1300
1;1734;2493;6;1;52;52;52
1;1734;2496;1;2;52;104;104
1;1734;2498;4;1;52;52;52
1;1734;2499;4;1;52;52;52
1;1734;2552;3;21;52;1092;1092
1;1734;2598;4;2;52;104;104
1;1734;2610;3;28;52;1456;1456
1;1734;2707;3;25;60;1500;1500
1;1734;2786;1;8;60;480;480
1;1734;2790;6;3;60;180;180
1;1734;2792;4;5;60;300;300
1;1734;2796;3;6;60;360;360
1;1734;2829;3;30;60;1800;1800
1;1734;2874;3;30;60;1800;1800
1;1734;2876;3;1;60;60;60
1;1734;2881;1;3;60;180;180
1;1762;2774;6;3;19,5;58,5;58,5
1;1780;2529;1;10;150;1500;1500
1;1903;2791;6;2;45;90;90
